fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2069/2070,8.5,0.45,8.95,2013-12-31 [Closed]
2068/2069,0.00,10.53,10.53,2012-12-07 [Closed]
2067/2068,0.00,9.5,9.5,2011-11-24 [Closed]
