fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2072/2073,8.45,0.44,8.89,2016-06-07 [Closed]
2071/2072,7.25,0.38,7.63,2016-06-07 [Closed]
2070/2071,4.00,12.00,16.00,2015-05-28 [Closed]
2067/2068,0.00,10.00,10.00,
