fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2082/2083,,12.00,12.00,2026-08-21 [Closed]
2081/2082,10.00,0.5263,10.5263,2026-08-21 [Closed]
2080/2081,,12.00,12.00,2024-09-16 [Closed]
2079/2080,,10.00,10.00,2023-11-20 [Closed]
