fiscal_year,eps
071-072,24.19
072-073,22.06
073-074,19.58
074-075,12.69
075-076,13.11
076-077,7.33
077-078,14.98
078-079,17.51
079-080,8.28
080-081,14.70
081-082,17.06
082-083,23.83
