fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,26.00,1.3684,27.3684,2023-03-15 [Closed]
2077/2078,20.00,5.00,25.00,2022-01-02 [Closed]
2076/2077,15.00,5.00,20.00,2020-11-23 [Closed]
2075/2076,12.5,12.5,25.00,2019-12-27 [Closed]
2074/2075,10.00,10.00,20.00,2018-12-19 [Closed]
2073/2074,5.00,15.00,20.00,2017-12-22 [Closed]
2072/2073,10.00,10.00,20.00,2016-12-27 [Closed]
2071/2072,10.00,16.32,26.32,2015-12-27 [Closed]
2070/2071,10.00,21.58,31.58,2014-12-23 [Closed]
2069/2070,0.00,15.00,15.00,2013-12-27 [Closed]
