fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,3.3663,7.6337,11.00,2022-11-01 [Closed]
2077/2078,8.00,0.42,8.42,2021-12-27 [Closed]
2076/2077,10.2695,0.5405,10.81,2021-01-05 [Closed]
2075/2076,15.00,0.78,15.78,2020-01-21 [Closed]
2074/2075,15.89,0.83,16.72,2019-08-11 [Closed]
2071/2072,16.00,,16.00,2015-11-29 [Closed]
2070/2071,38.00,2.00,40.00,2015-07-01 [Closed]
2068/2069,5.00,0.26,5.26,2013-03-17 [Closed]
