fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2074/2075,2.4,7.9145,10.3145,2018-07-16 [Closed]
2073/2074,7.3,0.3832,7.6832,2018-05-03 [Closed]
2072/2073,25.00,,25.00,2016-12-23 [Closed]
2071/2072,15.00,0.79,15.79,2015-12-03 [Closed]
2070/2071,7.00,20.00,27.00,2014-10-26 [Closed]
