fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,6.99,0.3679,7.3579,2023-02-10 [Closed]
2077/2078,9.5238,0.4762,10.00,
2077/2078,9.5,0.5,10.00,2022-06-29 [Closed]
2076/2077,5.00,5.00,10.00,2021-05-28 [Closed]
2075/2076,8.125,0.406,8.531,2020-06-22 [Closed]
2073/2074,12.82,0.67,13.49,2017-12-15 [Closed]
2072/2073,18.18,0.96,19.14,2016-11-30 [Closed]
2071/2072,13.06,,13.06,2016-02-12 [Closed]
2070/2071,10.53,,10.53,2015-02-23 [Closed]
2069/2070,10.52,,10.52,2014-03-27 [Closed]
2068/2069,9.57,,9.57,2012-02-16 [Closed]
2067/2068,13.16,,13.16,2012-06-01 [Closed]
