fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2069/2070,0.00,7.00,7.00,
2068/2069,0.00,5.75,5.75,2012-10-31 [Closed]
2067/2068,0.00,6.5,6.5,2012-01-02 [Closed]
