date,open,high,low,ltp,percent_change,qty,turnover
2016-10-05,360.0,360.0,360.0,360.0,0.0,9400,3384000.0
2014-11-12,145.0,145.0,145.0,145.0,0.0,26664,3866280.0
2014-06-02,145.0,145.0,145.0,145.0,0.0,5788,839260.0
2014-02-23,0.0,145.0,145.0,145.0,0.0,19944,2891880.0
